,brand,name,price,n_of_reviews,n_of_loves,review_score,size,clean_product,category_Anti-Aging,category_BB_&_CC_Cream,category_Bath_&_Shower,category_Beauty_Supplements,category_Blemish_&_Acne_Treatments,category_Blotting_Papers,category_Body_Lotions_&_Body_Oils,category_Cellulite_&_Stretch_Marks,category_Decollete_&_Neck_Creams,category_Exfoliators,category_Eye_Creams_&_Treatments,category_Eye_Masks,category_Face_Masks,category_Face_Oils,category_Face_Primer,category_Face_Serums,category_Face_Sunscreen,category_Face_Wash_&_Cleansers,category_Facial_Peels,category_Foundation,category_Hair_Oil,category_Highlighter,category_Holistic_Wellness,category_Mini_Size,category_Mists_&_Essences,category_Moisturizer_&_Treatments,category_Moisturizers,category_Night_Creams,category_Setting_Spray_&_Powder,category_Sheet_Masks,category_Skincare,category_Tinted_Moisturizer,category_Toners,category_Tools,category_Value_&_Gift_Sets,reviews_to_loves_ratio,return_on_reviews,price_per_ounce
24,Fresh,Rose Deep Hydration Moisturizer,42.0,969,73660,4.3375,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.32,0.45,26.25
25,Supergoop!,Everyday Sunscreen Broad Spectrum SPF 50,19.0,388,30550,4.3196,2.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27,1.11,7.92
26,Tatcha,Pure One Step Camellia Oil Cleanser,48.0,1000,72453,4.5224,5.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38,0.45,9.41
27,Tatcha,Luminous Dewy Skin Mist,48.0,1000,138462,3.9479,1.35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.72,0.39,35.56
28,Dr. Jart+,Cicapair Tiger Grass Color Correcting Treatment SPF 30,52.0,1000,68346,4.2025,1.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.46,0.42,30.59
29,SUNDAY RILEY,Luna Retinol Sleeping Night Oil,105.0,1000,112116,4.1146,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89,0.41,88.98
30,Kiehl's Since 1851,Midnight Recovery Concentrate,49.0,566,66439,4.3233,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.85,0.76,49.0
31,Glow Recipe,Watermelon Glow Ultra-Fine Mist,28.0,139,30693,4.4173,2.53,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.45,3.18,11.07
32,CLINIQUE,Dramatically Different Moisturizing Gel,28.0,3000,76158,4.4662,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.94,0.15,
33,The Ordinary,Natural Moisturizing Factors + HA,5.8,276,36155,4.1594,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.76,1.51,5.8
34,SK-II,Facial Treatment Essence Mini,99.0,70,18195,3.9571,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.38,5.65,
35,OLEHENRIKSEN,Sheer Transformation - Perfecting Moisturizer,40.0,2000,62322,4.2227,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.21,0.21,23.53
36,Caudalie,Vinoperfect Brightening Glycolic Overnight Cream,65.0,137,12438,4.8394,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.1,3.53,
37,Supergoop!,CC Cream Daily Correct Broad Spectrum SPF 35+ Sunscreen,34.0,542,32289,4.3413,1.6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.68,0.8,21.25
38,Tatcha,The Essence Plumping Skin Softener,95.0,1000,45534,4.5357,5.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.2,0.45,18.63
39,Caudalie,Beauty Elixir,18.0,3000,80381,4.2971,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.73,0.14,18.0
41,Erborian,CC Creme High Definition Radiance Face Cream Skin Perfector,44.0,513,33175,4.1111,1.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.55,0.8,29.33
42,Youth To The People,Superberry Hydrate + Glow Dream Mask,48.0,326,28972,4.7301,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13,1.45,24.0
43,Dr. Jart+,Premium Beauty Balm SPF 45,39.0,2000,51471,4.2411,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.89,0.21,26.0
44,Charlotte Tilbury,Charlotte's Magic Cream,100.0,499,14067,4.2986,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.55,0.86,58.82
45,Fresh,Lotus Youth Preserve Dream Night Cream,48.0,208,24352,4.6538,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.85,2.24,30.0
46,LANEIGE,Water Sleeping Mask,25.0,1000,103268,4.3255,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97,0.43,10.87
47,Bobbi Brown,Vitamin Enriched Face Base Priming Moisturizer,60.0,804,76177,4.5323,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.06,0.56,35.29
48,Josie Maran,100 percent Pure Argan Oil,49.0,7000,122161,4.5261,1.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.73,0.06,28.82
49,Origins,GinZing‚ Energy-Boosting Gel Moisturizer,29.5,2000,69203,4.4265,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.89,0.22,17.35
50,tarte,BB Tinted Treatment 12-Hour Primer Broad Spectrum SPF 30 Sunscreen,37.0,3000,95331,4.2684,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0.14,37.0
51,CLINIQUE,Dramatically Different Moisturizing Lotion+,28.0,1000,67346,3.8784,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.48,0.39,6.67
52,Biossance,Squalane + Vitamin C Rose Oil,72.0,316,38037,4.3956,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83,1.39,72.0
53,SUNDAY RILEY,U.F.O. Ultra-Clarifying Face Oil,80.0,1000,81319,4.1595,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.23,0.42,67.8
54,tarte,Amazonian Clay BB Tinted Moisturizer Broad Spectrum SPF 20 Sunscreen,36.0,2000,63423,4.2498,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.15,0.21,21.18
55,FARSALI,Unicorn Essence Antioxidant Primer Serum,54.0,1000,133987,3.8928,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.39,54.0
56,SUNDAY RILEY,C.E.O Glow Vitamin C + Turmeric Face Oil,40.0,100,10975,4.22,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91,4.22,80.0
57,Origins,Dr. Andrew Weil For Origins‚ Mega-Mushroom Relief & Resilience Soothing Treatment Lotion,34.0,747,28741,4.3588,6.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.6,0.58,5.07
58,Peter Thomas Roth,Water Drench Hyaluronic Cloud Cream,52.0,888,32448,4.3513,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.74,0.49,30.59
59,SK-II,R.N.A. POWER Face Cream,230.0,104,9547,4.25,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.09,4.09,85.19
60,CLINIQUE,Acne Solutions BB Cream Broad Spectrum SPF 40,39.0,601,34736,4.1481,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73,0.69,39.0
61,SK-II,GenOptics Aura Essence Serum,240.0,109,9090,4.0826,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.2,3.75,150.0
62,Dr. Jart+,Ceramidin‚ Cream,48.0,917,17578,4.6074,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.22,0.5,28.4
63,First Aid Beauty,Hello FAB Coconut Skin Smoothie Priming Moisturizer,28.0,1000,56776,4.218,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.76,0.42,16.47
64,GLAMGLOW,GLOWSTARTER‚ Mega Illuminating Moisturizer,49.0,1000,60229,4.027,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.66,0.4,28.82
65,LANEIGE,Water Bank Moisture Cream,35.0,734,29072,4.4005,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.52,0.6,21.88
66,SUNDAY RILEY,Tidal Brightening Enzyme Water Cream,22.0,1000,55171,4.1377,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.81,0.41,44.0
67,Youth To The People,Superfood Hyaluronic Acid Moisturizer,48.0,683,30370,4.2006,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.25,0.62,24.0
68,Glow Recipe,Watermelon Glow Sleeping Mask,45.0,1000,170974,4.0466,2.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.58,0.4,16.67
69,IT Cosmetics,Secret Sauce Anti-Aging Moisturizer,68.0,338,26730,3.7722,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.26,1.12,34.0
70,OLEHENRIKSEN,Goodnight Glow Retin-ALT Sleeping Creme,55.0,211,28556,4.1185,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.74,1.95,32.35
71,Herbivore,Emerald Cannabis Sativa Hemp Seed Deep Moisture Glow Oil,48.0,154,24670,4.6234,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62,3.0,48.0
72,Smashbox,Camera Ready BB Cream SPF 35,42.0,3000,77095,4.0136,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.89,0.13,42.0
73,The Ordinary,Vitamin C Suspension 23% + HA Spheres 2%,5.8,265,33372,3.9849,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.79,1.5,5.8
74,CLINIQUE,Clinique iD‚ Custom-Blend Hydrator Collection,39.0,88,30980,3.8864,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.28,4.42,9.29
75,Glow Recipe,Watermelon Pink Juice Moisturizer,39.0,726,62865,4.0124,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.15,0.55,19.5
76,Caudalie,Vinosource SOS Deep Hydration Moisturizer,42.0,47,4498,4.7872,1.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.04,10.19,26.25
77,Dior,Capture Totale Dreamskin Advanced,115.0,127,11808,4.1654,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.08,3.28,115.0
78,FARSALI,"Rose Gold Elixir, 24k Gold Infused Beauty Oil",54.0,1000,114554,3.9263,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.87,0.39,54.0
79,Guerlain,Abeille Royale Youth Watery Oil,129.0,29,11056,4.1379,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26,14.27,80.62
80,IT Cosmetics,Confidence in a Cream Hydrating Moisturizer,48.0,570,27894,4.2842,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.04,0.75,24.0
81,Tatcha,Luminous Dewy Skin Night Concentrate,110.0,153,28945,4.4379,1.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.53,2.9,64.71
82,Youth To The People,Superberry Hydrate + Glow Oil,44.0,508,26645,4.7539,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.91,0.94,44.0
83,LANEIGE,BB Cushion Hydra Radiance SPF 50,38.0,1000,26255,4.2886,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.81,0.43,76.0
84,Biossance,Limited Edition Squalane + Vitamin C Rose Oil,72.0,310,2793,4.3968,1.01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1,1.42,71.29
85,Perricone MD,Cold Plasma Sub-D Firming Neck Treatment,135.0,252,8618,3.7778,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.92,1.5,67.5
86,Algenist,GENIUS Sleeping Collagen,98.0,1000,7378,4.6152,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13.55,0.46,49.0
87,Tatcha,The Silk Cream,120.0,142,23416,4.2676,1.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.61,3.01,70.59
88,OLEHENRIKSEN,Counter Balance‚Ñ¢ Oil Control Hydrator,36.0,931,31646,4.2825,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.94,0.46,21.18
89,tarte,Drink of H2O Hydrating Boost Moisturizer Rainforest of the Sea‚Ñ¢,39.0,1000,63150,4.3578,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.58,0.44,22.94
90,Supergoop!,Superscreen Daily Moisturizer Broad Spectrum SPF 40 PA+++,38.0,91,12759,4.011,1.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.71,4.41,22.35
91,SUNDAY RILEY,C.E.O. C+ E Antioxidant Protect Repair Moisturizer,22.0,675,33749,4.0711,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.0,0.6,44.0
92,AMOREPACIFIC,Color Control Cushion Compact Broad Spectrum SPF 50+,60.0,1000,26924,4.0439,1.05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.71,0.4,57.14
93,Caudalie,Vinosource Moisturizing Sorbet,39.0,1000,42892,4.2154,1.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.33,0.42,30.0
94,Origins,Original Skin‚ Matte Moisturizer with Willowherb,35.0,1000,38138,4.4701,1.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.62,0.45,20.59
95,Dr. Jart+,Cicapair‚Ñ¢ Tiger Grass Cream,48.0,587,30709,4.3509,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.91,0.74,28.24
96,KORA Organics,Noni Glow Face Oil,68.0,366,23502,4.3224,1.01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.56,1.18,67.33
97,Josie Maran,Skin Dope Argan Oil + 100 mg CBD,78.0,7,1205,5.0,1.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58,71.43,45.88
98,IT Cosmetics,Bye Bye Redness‚Ñ¢ Neutralizing Correcting Cream,32.0,636,31776,4.2233,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.0,0.66,86.49
